Operador;Tipo Pausa;Fecha inicio;Fecha_fin
MERASO;administrativo;2022-12-22 08:23:10;2022-12-22 08:25:39
NCORONEL;administrativo;2022-12-22 08:23:16;2022-12-22 08:23:28
AREYES;administrativo;2022-12-22 08:23:18;2022-12-22 08:23:49
LRIOS;administrativo;2022-12-22 08:23:43;2022-12-22 08:25:04
tdacunha;descanso;2022-12-22 08:28:38;2022-12-22 08:28:47
CFERREYRA;administrativo;2022-12-22 08:29:14;2022-12-22 08:30:20
LRIOS;administrativo;2022-12-22 08:29:31;2022-12-22 08:30:26
clara;administrativo;2022-12-22 08:29:57;2022-12-22 08:30:20
AREYES;administrativo;2022-12-22 08:30:03;2022-12-22 08:30:07
CFERREYRA;administrativo;2022-12-22 08:33:12;
cgonzalez;administrativo;2022-12-22 08:34:38;2022-12-22 08:36:58
CFERREYRA;administrativo;2022-12-22 08:35:50;2022-12-22 08:36:11
MMAIDANA;administrativo;2022-12-22 08:37:00;2022-12-22 08:37:58
SOSAA;administrativo;2022-12-22 08:37:52;2022-12-22 08:42:40
CFERREYRA;administrativo;2022-12-22 08:38:00;2022-12-22 08:38:53
clara;administrativo;2022-12-22 08:39:01;2022-12-22 08:40:47
LRIOS;administrativo;2022-12-22 08:39:08;2022-12-22 08:41:10
ndelaoliva;administrativo;2022-12-22 08:39:44;2022-12-22 08:40:16
CFERREYRA;administrativo;2022-12-22 08:41:07;2022-12-22 08:42:08
CFERREYRA;administrativo;2022-12-22 08:44:35;2022-12-22 08:45:25
LRIOS;administrativo;2022-12-22 08:48:50;2022-12-22 08:54:26
CFERREYRA;administrativo;2022-12-22 08:50:00;2022-12-22 08:51:35
EBARRERA;administrativo;2022-12-22 08:53:23;2022-12-22 08:58:30
ndelaoliva;administrativo;2022-12-22 08:53:48;2022-12-22 08:54:18
MERASO;administrativo;2022-12-22 08:55:28;2022-12-22 09:00:57
LRIOS;administrativo;2022-12-22 08:56:38;2022-12-22 08:57:52
CFERREYRA;administrativo;2022-12-22 08:58:54;2022-12-22 09:01:57
ndelaoliva;administrativo;2022-12-22 09:00:22;2022-12-22 09:00:44
MERASO;administrativo;2022-12-22 09:05:23;2022-12-22 09:08:23
CFERREYRA;administrativo;2022-12-22 09:07:09;2022-12-22 09:11:54
SOSAA;administrativo;2022-12-22 09:08:41;2022-12-22 09:11:29
cgonzalez;administrativo;2022-12-22 09:12:42;2022-12-22 09:15:43
LRIOS;administrativo;2022-12-22 09:15:18;2022-12-22 09:15:54
CFERREYRA;administrativo;2022-12-22 09:16:50;2022-12-22 09:16:59
FEIRIS;administrativo;2022-12-22 09:19:03;
FEIRIS;administrativo;2022-12-22 09:19:05;2022-12-22 09:29:51
AREYES;administrativo;2022-12-22 09:19:05;2022-12-22 09:29:51
EBARRERA;administrativo;2022-12-22 09:19:06;2022-12-22 09:30:27
VZAPATA;administrativo;2022-12-22 09:19:11;2022-12-22 09:29:35
MDELRIO;administrativo;2022-12-22 09:19:14;2022-12-22 09:29:57
ndelaoliva;administrativo;2022-12-22 09:19:29;2022-12-22 09:30:07
npardi;administrativo;2022-12-22 09:19:33;2022-12-22 09:29:24
MERASO;administrativo;2022-12-22 09:19:41;2022-12-22 09:29:51
LRIOS;administrativo;2022-12-22 09:19:50;2022-12-22 09:30:31
